Australian Bureau of Statistics,,,,,,,,,,
Cat. No. 6403.0.55.001 Average Retail Prices of Selected Items: Eight Capital Cities,,,,,,,,,,
March Quarter 2005,,,,,,,,,,
,,,,,,,,,,
,,,Prices in cents,,,,,,,
,,,Sydney,Melbourne,Brisbane,Adelaide,Perth,Hobart,Darwin,Canberra
 Dairy products,,,,,,,,,,
,Milk (2 litre),,282,303,289,297,271,293,327,293
,"Cheese, processed, sliced, wrapped (500g)",,408,410,399,404,424,420,437,428
,Butter (500 g)(a),,284,302,244,256,252,240,262,274
 Bread and cereal products,,,,,,,,,,
,"Bread white loaf, sliced (650 g)(b)     ",,251,252,250,243,243,251,287,248
,"Biscuits, dry (250 g)",,183,185,168,186,174,201,202,184
,"Breakfast cereal, corn based (550 g)",,342,326,335,330,360,363,353,346
,"Flour, self raising (2 kg)",,346,391,287,354,390,261,363,393
,"Rice, long grain (1 kg)",,192,212,183,196,216,207,218,189
 Meat and seafoods,,,,,,,,,,
,Beef,,,,,,,,,
,,Roast Beef (1 kg)(c),1020,1110,1131,1199,1054,1109,1271,1230
,,Rump steak (1 kg),1739,1695,1789,1867,1676,1663,1920,1808
,,"T-bone steak, with fillet (1 kg)",1815,1733,1840,1825,1910,1709,1774,1884
,,Chuck steak (1 kg),935,885,900,964,960,912,1008,943
,Lamb,,,,,,,,,
,,Leg (1 kg),915,836,875,948,892,882,917,900
,,Loin chops (1 kg),1581,1585,1628,1604,1608,1556,1718,1675
,,Forequarter chops (1 kg),831,783,805,850,883,829,815,812
,Pork,,,,,,,,,
,,Leg (1 kg),642,773,695,717,699,828,755,716
,,Loin chops (1 kg),1189,1213,1251,1271,1286,1285,1380,1241
,"Chicken, frozen (1 kg)",,409,397,395,397,381,380,427,378
,"Bacon, middle rashers (250 g pkt)",,387,357,373,382,436,360,444,414
,Sausages (1 kg),,507,521,491,539,478,546,517,514
,"Salmon, pink (210 g can)",,258,252,255,236,262,345,273,272
 Fresh fruit and vegetables (d),,,,,,,,,,
,Oranges (1 kg),,277,279,202,154,312,245,392,280
,Bananas (1 kg) ,,260,249,248,240,311,267,289,253
,Potatoes (1 kg),,132,190,188,122,189,203,231,184
,Tomatoes (1 kg),,330,303,339,346,299,409,483,316
,Carrots (1 kg),,209,180,186,174,137,176,215,216
,Onions (1 kg),,219,222,199,231,188,199,283,223
 Processed fruit and vegetables,,,,,,,,,,
,Peaches (825 g can),,243,247,249,241,272,260,266,272
,"Pineapple, sliced (450 g can)",,145,151,151,134,154,160,144,145
,"Peas, frozen (500 g pkt)",,166,164,171,152,169,175,191,173
 Snacks and confectionery,,,,,,,,,,
,"Chocolate, milk, block (250 g)",,336,353,346,329,339,385,359,368
 Other food,,,,,,,,,,
,"Eggs (1 dozen)(e),(f)",,322,306,299,293,393,388,411,321
,"Sugar, white (2 kg)(f)",,199,203,185,204,242,282,224,220
,"Jam, strawberry (500 g jar)",,259,279,277,255,269,288,294,299
,Teabags (180 g pkt),,350,375,344,332,360,408,370,384
,"Coffee, instant (150 g jar)",,562,536,506,513,619,616,569,564
,Tomato sauce (600 ml),,188,176,173,171,175,199,190,184
,"Margarine, poly-unsaturated (500 g)",,242,248,243,236,237,250,253,248
,"Baked beans, in tomato sauce (420 g)",,123,118,105,107,123,131,127,112
,Baby food (120 g can),,76,76,69,72,75,78,76,74
 Houshold supplies,,,,,,,,,,
,Laundry detergent (1 kg),,524,552,559,523,542,531,569,558
,Dishwashing detergent (450 ml),,334,342,335,316,325,344,347,330
,Facial tissues (pkt 180),,207,207,207,207,215,220,216,212
,Toilet paper (4 x 220 sheet rolls),,301,306,292,297,298,317,316,311
,Pet food (400 g),,102,110,92,106,109,122,105,99
 Private motoring ,,,,,,,,,,
,"Petrol, unleaded (1 litre)",,101.5,98.3,91.8,101.3,98.5,107.2,107.7,101.8
 Alcoholic drinks,,,,,,,,,,
,"Beer, low alcohol (24 x 355 ml - 375 ml bottles)(g)",,2338,2322,2732,2492,3013,2661,2920,2275
,"Beer, full strength (24 x 375 ml bottles)(h)",,3570,3507,3339,3414,3590,3619,3706,3426
,"Draught beer, low alcohol, public bar (285 ml glass)(g)",,205,248,221,279,309,254,245,203
,"Draught beer, full strength, public bar (285 ml glass)(h)",,235,282,243,312,321,302,290,232
,"Scotch nip, public bar (30 ml)",,423,422,372,491,471,374,414,368
 Personal care products,,,,,,,,,,
,Toilet soap (4 x 125 g),,265,273,278,279,279,329,282,252
,,,,,,,,,,
,,,,,,,,,,
"(a) Sydney, Melbourne and Canberra 2 x 250 g.",,,,,,,,,,
(b) Hobart 680 g. ,,,,,,,,,,
"(c) For example silverside, topside, or blade bolar roast.",,,,,,,,,,
"(d) Although presented on a cents per kilogram basis, the prices for fruit and vegetables may vary across cities due to the quantity priced, that is, some items may be priced as loose while others may be priced in bags of more than one kilogram. ",,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
"(e) Eggs in all capital cities have a minimum net carton weight of 700 g per dozen eggs, except Adelaide where they have a minimum net carton weight of 600 g per dozen.",,,,,,,,,,
,,,,,,,,,,
(f) Represents average price of brand name and generic brand products.,,,,,,,,,,
(g) Includes light and mid strength beer with an alcoholic content equal to or less than 3.5%.,,,,,,,,,,
(h) Alcoholic content of full strength beer is greater than 3.5%.,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
"© Commonwealth of Australia, 2005",,,,,,,,,,
