Australian Bureau of Statistics,,,,,,,,,,
Cat. No. 6403.0.55.001 Average Retail Prices of Selected Items: Eight Capital Cities,,,,,,,,,,
December Quarter 2005,,,,,,,,,,
,,,,,,,,,,
,,,Prices in cents,,,,,,,
,,,Sydney,Melbourne,Brisbane,Adelaide,Perth,Hobart,Darwin,Canberra
 Dairy products,,,,,,,,,,
,Milk (2 litre),,295,313,301,309,294,311,338,307
,"Cheese, processed, sliced, wrapped (500g)",,426,416,435,437,418,437,465,460
,Butter (500g)(a),,304,338,293,297,282,268,314,286
 Bread and cereal products,,,,,,,,,,
,"Bread white loaf, sliced (650g)(b)     ",,286,286,274,271,259,256,323,288
,"Biscuits, dry (250 g)",,191,194,177,196,182,205,185,193
,"Breakfast cereal, corn based (525 g)",,345,332,337,325,373,384,354,346
,"Flour, self raising (2 kg)",,331,389,301,375,413,261,359,378
,"Rice, long grain (1 kg)",,196,212,188,193,204,217,220,197
 Meat and seafoods,,,,,,,,,,
,Beef,,,,,,,,,
,,Roast Beef (1 kg)(c),1124,1110,1171,1206,1131,1039,1232,1277
,,Rump steak (1 kg),1865,1884,1973,1817,1767,1760,1889,1788
,,"T-bone steak, with fillet (1 kg)",1880,1966,1913,1925,1886,1867,2015,2038
,,Chuck steak (1 kg),975,916,895,945,942,970,1082,977
,Lamb,,,,,,,,,
,,Leg (1 kg),900,891,939,898,1028,931,925,893
,,Loin chops (1 kg),1620,1576,1670,1656,1670,1679,1749,1703
,,Forequarter chops (1 kg),800,798,836,914,946,919,897,776
,Pork,,,,,,,,,
,,Leg (1 kg),698,731,668,644,665,770,649,708
,,Loin chops (1 kg),1264,1300,1292,1348,1280,1281,1444,1419
,"Chicken, frozen (1 kg)(d)",,390,337,356,387,397,363,382,373
,"Bacon, middle rashers (250 g pkt)",,352,397,367,389,486,357,437,404
,Sausages (1 kg),,506,520,534,553,522,530,487,514
,"Salmon, pink (210 g can)",,251,248,257,251,265,336,267,267
 Fresh fruit and vegetables (e),,,,,,,,,,
,Oranges (1 kg),,247,218,198,148,298,239,342,232
,Bananas (1 kg) ,,267,269,247,281,335,281,298,261
,Potatoes (1 kg),,149,220,191,179,227,206,265,261
,Tomatoes (1 kg),,385,367,352,418,422,432,502,363
,Carrots (1 kg),,211,194,181,185,153,178,238,216
,Onions (1 kg),,251,259,255,284,248,196,325,271
 Processed fruit and vegetables,,,,,,,,,,
,Peaches (825 g can),,272,289,272,284,275,295,290,288
,"Pineapple, sliced (450 g can)",,152,158,154,140,161,167,152,152
,"Peas, frozen (500 g pkt)",,156,150,159,143,143,160,184,161
 Snacks and confectionery,,,,,,,,,,
,"Chocolate, milk, block (250 g)",,335,367,336,329,346,375,341,362
 Other food,,,,,,,,,,
,"Eggs (1 dozen)(d),(f)",,319,299,296,300,364,347,351,334
,"Sugar, white (2 kg)(d)",,194,191,181,198,233,275,217,204
,"Jam, strawberry (500 g jar)",,287,273,293,250,273,283,269,309
,Teabags (180 g pkt),,384,348,344,354,366,441,358,369
,"Coffee, instant (150 g jar)",,634,604,541,558,643,696,621,640
,Tomato sauce (600 ml),,182,173,178,172,169,205,195,181
,"Margarine, poly-unsaturated (500 g)",,255,252,245,247,251,262,260,269
,"Baked beans, in tomato sauce (420 g)",,126,137,125,127,132,135,138,139
,Baby food (120 g can),,79,78,80,80,77,82,88,82
 Houshold supplies,,,,,,,,,,
,Laundry detergent (1 kg),,572,578,560,572,534,562,582,564
,Dishwashing detergent (450 ml),,352,324,349,327,343,350,354,344
,Facial tissues (pkt 180),,208,208,200,206,220,214,222,213
,Toilet paper (8 x 190 sheet rolls),,606,518,597,593,563,576,561,628
,Pet food (400 g),,112,117,108,111,115,126,116,112
 Private motoring ,,,,,,,,,,
,"Petrol, unleaded (1 litre)",,118.8,117.4,110.2,119.1,116.6,126.8,129.5,123.4
 Alcoholic drinks,,,,,,,,,,
,"Beer, low alcohol (24 x 355 ml - 375 ml bottles)(g)",,2390,2385,2826,2655,2965,2780,2989,2314
,"Beer, full strength (24 x 375 ml bottles)(h)",,3633,3626,3432,3504,3602,3746,3879,3501
,"Draught beer, low alcohol, public bar (285 ml glass)(g)",,214,260,221,292,312,261,251,221
,"Draught beer, full strength, public bar (285 ml glass)(h)",,245,293,246,334,321,305,300,250
,"Scotch nip, public bar (30 ml)",,432,458,389,518,488,382,430,393
 Personal care products,,,,,,,,,,
,Toilet soap (4 x 125g),,269,279,286,276,264,267,294,261
,,,,,,,,,,
,,,,,,,,,,
"(a) Sydney, Melbourne and Canberra 2 x 250 g.",,,,,,,,,,
(b) Hobart 680 g. ,,,,,,,,,,
"(c) For example silverside, topside, or blade bolar roast.",,,,,,,,,,
(d) Represents average price of brand name and generic brand products.,,,,,,,,,,
"(e) Although presented on a cents per kilogram basis, the prices for fruit and vegetables may vary across cities due to the quantity priced, that is, some items may be priced as loose while others may be priced in bags of more than one kilogram. ",,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
"(f) Eggs in all capital cities have a minimum net carton weight of 700 g per dozen eggs, except Adelaide, Hobart and Darwin where they have a minimum net carton weight of 600 g per dozen.",,,,,,,,,,
,,,,,,,,,,
(g) Includes light and mid strength beer with an alcoholic content equal to or less than 3.5%.,,,,,,,,,,
(h) Alcoholic content of full strength beer is greater than 3.5%.,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
"© Commonwealth of Australia, 2006",,,,,,,,,,
