Australian Bureau of Statistics,,,,,,,,,,
Cat. No. 6403.0.55.001 Average Retail Prices of Selected Items: Eight Capital Cities,,,,,,,,,,
June Quarter 2006,,,,,,,,,,
,,,,,,,,,,
,,,Prices in cents,,,,,,,
,,,Sydney,Melbourne,Brisbane,Adelaide,Perth,Hobart,Darwin,Canberra
 Dairy products,,,,,,,,,,
,Milk (2 litre),,298,319,306,314,296,313,342,306
,"Cheese, processed, sliced, wrapped (500g)",,433,429,433,430,436,440,478,430
,Butter (500g)(a),,320,344,310,312,299,287,323,310
 Bread and cereal products,,,,,,,,,,
,"Bread white loaf, sliced (650g)(b)     ",,289,295,277,271,264,265,327,283
,"Biscuits, dry (250 g)",,198,200,182,201,185,208,207,198
,"Breakfast cereal, corn based (525 g)",,347,335,336,333,374,388,354,349
,"Flour, self raising (2 kg)",,347,396,304,374,406,260,362,399
,"Rice, long grain (1 kg)",,196,213,184,196,202,217,219,195
 Meat and seafoods,,,,,,,,,,
,Beef,,,,,,,,,
,,Roast Beef (1 kg)(c),1062,1086,1195,1173,1220,1134,1204,1325
,,Rump steak (1 kg),1947,1978,2051,1989,1978,2034,2123,1982
,,"T-bone steak, with fillet (1 kg)",2013,2031,2134,2023,2069,2005,2043,2116
,,Chuck steak (1 kg),974,930,932,974,1038,979,1029,1025
,Lamb,,,,,,,,,
,,Leg (1 kg),930,881,936,869,978,915,1033,985
,,Loin chops (1 kg),1661,1609,1754,1685,1739,1698,1850,1790
,,Forequarter chops (1 kg),889,916,861,931,902,936,974,899
,Pork,,,,,,,,,
,,Leg (1 kg),580,630,671,690,665,806,709,754
,,Loin chops (1 kg),1376,1289,1347,1428,1416,1355,1427,1465
,"Chicken, frozen (1 kg)(d)",,365,348,357,353,397,348,405,356
,"Bacon, middle rashers (250 g pkt)",,378,412,348,397,492,354,444,409
,Sausages (1 kg),,546,558,572,582,555,546,527,564
,"Salmon, pink (210 g can)",,251,244,240,252,265,335,280,270
 Fresh fruit and vegetables (e),,,,,,,,,,
,Oranges (1 kg),,256,279,243,160,357,260,342,259
,Bananas (1 kg) ,,883,898,767,930,880,818,790,952
,Potatoes (1 kg),,160,237,220,178,199,185,291,290
,Tomatoes (1 kg),,423,382,417,452,427,524,556,414
,Carrots (1 kg),,216,187,180,175,146,170,221,207
,Onions (1 kg),,259,239,233,228,201,191,280,256
 Processed fruit and vegetables,,,,,,,,,,
,Peaches (825 g can),,293,293,303,309,293,300,319,293
,"Pineapple, sliced (450 g can)",,157,163,158,144,166,170,155,158
,"Peas, frozen (500 g pkt)",,157,158,157,151,142,161,195,167
 Snacks and confectionery,,,,,,,,,,
,"Chocolate, milk, block (250 g)",,379,390,396,374,390,386,386,386
 Other food,,,,,,,,,,
,"Eggs (1 dozen)(d),(f)",,330,316,310,307,386,336,358,364
,"Sugar, white (2 kg)(d)",,192,191,187,209,234,285,225,212
,"Jam, strawberry (500 g jar)",,286,301,292,259,305,302,305,315
,Teabags (180 g pkt),,373,365,360,354,354,394,348,381
,"Coffee, instant (150 g jar)",,644,645,603,600,632,694,655,687
,Tomato sauce (600 ml),,186,177,175,168,171,186,182,182
,"Margarine, poly-unsaturated (500 g)",,264,264,261,262,265,262,270,268
,"Baked beans, in tomato sauce (420 g)",,137,136,127,134,134,136,137,145
,Baby food (120 g can),,79,82,77,80,81,83,81,82
 Houshold supplies,,,,,,,,,,
,Laundry detergent (1 kg),,584,589,575,595,589,608,610,598
,Dishwashing detergent (450 ml),,338,347,349,335,367,371,382,367
,Facial tissues (pkt 180),,212,205,209,210,216,216,233,213
,Toilet paper (8 x 190 sheet rolls),,657,555,614,634,532,651,648,660
,Pet food (400 g),,108,109,107,109,117,124,119,105
 Private motoring ,,,,,,,,,,
,"Petrol, unleaded (1 litre)",,134.6,133.5,125.5,133.5,132.2,140.0,140.0,137.4
 Alcoholic drinks,,,,,,,,,,
,"Beer, low alcohol (24 x 355 ml - 375 ml bottles)(g)",,2485,2418,2851,2502,3098,2748,2982,2425
,"Beer, full strength (24 x 375 ml bottles)(h)",,3812,3704,3472,3522,3676,3794,3896,3661
,"Draught beer, low alcohol, public bar (285 ml glass)(g)",,220,269,226,306,319,264,244,226
,"Draught beer, full strength, public bar (285 ml glass)(h)",,251,302,252,340,328,311,299,255
,"Scotch nip, public bar (30 ml)",,443,473,400,521,507,382,434,400
 Personal care products,,,,,,,,,,
,Toilet soap (4 x 125g),,282,289,286,285,284,288,304,299
,,,,,,,,,,
,,,,,,,,,,
"(a) Sydney, Melbourne and Canberra 2 x 250 g.",,,,,,,,,,
(b) Hobart 680 g. ,,,,,,,,,,
"(c) For example silverside, topside, or blade bolar roast.",,,,,,,,,,
(d) Represents average price of brand name and generic brand products.,,,,,,,,,,
"(e) Although presented on a cents per kilogram basis, the prices for fruit and vegetables may vary across cities due to the quantity priced, that is, some items may be priced as loose while others may be priced in bags of more than one kilogram. ",,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
"(f) Eggs in all capital cities have a minimum net carton weight of 700 g per dozen eggs, except Adelaide, Hobart and Darwin where they have a minimum net carton weight of 600 g per dozen.",,,,,,,,,,
,,,,,,,,,,
(g) Includes light and mid strength beer with an alcoholic content equal to or less than 3.5%.,,,,,,,,,,
(h) Alcoholic content of full strength beer is greater than 3.5%.,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
"© Commonwealth of Australia, 2006",,,,,,,,,,
