Australian Bureau of Statistics,,,,,,,,,,
Cat. No. 6403.0.55.001 Average Retail Prices of Selected Items: Eight Capital Cities,,,,,,,,,,
September Quarter 2006,,,,,,,,,,
,,,,,,,,,,
,,,Prices in cents,,,,,,,
,,,Sydney,Melbourne,Brisbane,Adelaide,Perth,Hobart,Darwin,Canberra
 Dairy products,,,,,,,,,,
,Milk (2 litre),,312,320,306,315,299,315,351,306
,"Cheese, processed, sliced, wrapped (500g)",,437,454,464,447,453,441,497,459
,Butter (500g)(a),,316,348,308,314,309,294,339,310
 Bread and cereal products,,,,,,,,,,
,"Bread white loaf, sliced (650g)(b)     ",,291,305,284,288,271,262,325,301
,"Biscuits, dry (250 g)",,197,201,183,202,186,210,205,200
,"Breakfast cereal, corn based (525 g)",,356,358,341,352,362,416,361,375
,"Flour, self raising (2 kg)",,357,392,268,376,409,300,402,393
,"Rice, long grain (1 kg)",,196,215,183,201,220,214,220,198
 Meat and seafoods,,,,,,,,,,
,Beef,,,,,,,,,
,,Roast Beef (1 kg)(c),1028,1141,1179,1154,1207,1144,1160,1292
,,Rump steak (1 kg),1824,2050,1960,2001,1938,2024,1966,1917
,,"T-bone steak, with fillet (1 kg)",1929,1942,2000,1972,1964,1875,1976,1995
,,Chuck steak (1 kg),1033,963,950,987,1016,1005,1039,1062
,Lamb,,,,,,,,,
,,Leg (1 kg),914,856,972,925,982,910,1024,903
,,Loin chops (1 kg),1729,1697,1717,1685,1713,1720,1877,1794
,,Forequarter chops (1 kg),883,897,883,953,944,905,945,892
,Pork,,,,,,,,,
,,Leg (1 kg),618,712,653,717,721,824,745,796
,,Loin chops (1 kg),1364,1329,1313,1435,1470,1352,1464,1385
,"Chicken, frozen (1 kg)(d)",,358,334,359,347,397,361,403,353
,"Bacon, middle rashers (250 g pkt)",,375,396,364,377,502,354,447,387
,Sausages (1 kg),,535,542,557,575,530,569,512,554
,"Salmon, pink (210 g can)",,240,238,257,249,264,335,284,272
 Fresh fruit and vegetables (e),,,,,,,,,,
,Oranges (1 kg),,242,255,256,146,304,275,360,265
,Bananas (1 kg) ,,1282,1271,1229,1282,1274,1218,1025,1329
,Potatoes (1 kg),,162,243,239,184,220,179,271,289
,Tomatoes (1 kg),,353,349,346,431,369,435,498,321
,Carrots (1 kg),,213,188,180,187,145,178,241,209
,Onions (1 kg),,263,234,260,241,218,203,305,267
 Processed fruit and vegetables,,,,,,,,,,
,Peaches (825 g can),,306,314,306,314,315,304,334,317
,"Pineapple, sliced (450 g can)",,169,160,169,161,167,167,155,165
,"Peas, frozen (500 g pkt)",,172,161,165,154,163,177,191,164
 Snacks and confectionery,,,,,,,,,,
,"Chocolate, milk, block (250 g)",,378,399,370,368,401,373,372,386
 Other food,,,,,,,,,,
,"Eggs (1 dozen)(d),(f)",,348,350,339,321,395,357,402,371
,"Sugar, white (2 kg)(d)",,194,201,192,210,248,288,230,209
,"Jam, strawberry (500 g jar)",,296,319,310,295,318,319,324,319
,Teabags (180 g pkt),,377,391,341,340,351,399,359,381
,"Coffee, instant (150 g jar)",,672,691,631,639,673,722,653,650
,Tomato sauce (600 ml),,194,181,172,173,174,193,175,182
,"Margarine, poly-unsaturated (500 g)",,272,278,275,267,278,278,276,281
,"Baked beans, in tomato sauce (420 g)",,137,136,119,140,129,138,137,138
,Baby food (120 g can),,81,82,83,82,81,81,79,82
 Houshold supplies,,,,,,,,,,
,Laundry detergent (1 kg),,598,600,598,569,589,604,610,598
,Dishwashing detergent (450 ml),,352,368,355,360,372,361,396,378
,Facial tissues (pkt 180),,219,220,219,216,213,223,225,219
,Toilet paper (8 x 190 sheet rolls),,671,669,641,676,674,675,642,660
,Pet food (400 g),,111,115,111,111,115,124,121,113
 Private motoring ,,,,,,,,,,
,"Petrol, unleaded (1 litre)",,132.3,132.7,124.2,132.0,129.3,136.8,141.9,135.7
 Alcoholic drinks,,,,,,,,,,
,"Beer, low alcohol (24 x 355 ml - 375 ml bottles)(g)",,2490,2485,2941,2612,3214,2825,3096,2480
,"Beer, full strength (24 x 375 ml bottles)(h)",,3708,3650,3564,3558,3715,3883,3935,3749
,"Draught beer, low alcohol, public bar (285 ml glass)(g)",,222,273,229,308,320,266,244,229
,"Draught beer, full strength, public bar (285 ml glass)(h)",,253,308,254,347,328,313,297,256
,"Scotch nip, public bar (30 ml)",,448,486,407,532,509,385,445,406
 Personal care products,,,,,,,,,,
,Toilet soap (4 x 125g),,292,289,265,279,299,292,313,290
,,,,,,,,,,
,,,,,,,,,,
"(a) Sydney, Melbourne and Canberra 2 x 250 g.",,,,,,,,,,
(b) Hobart 680 g. ,,,,,,,,,,
"(c) For example silverside, topside, or blade bolar roast.",,,,,,,,,,
(d) Represents average price of brand name and generic brand products.,,,,,,,,,,
"(e) Although presented on a cents per kilogram basis, the prices for fruit and vegetables may vary across cities due to the quantity priced, that is, some items may be priced as loose while others may be priced in bags of more than one kilogram. ",,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
"(f) Various egg types (e.g. caged, free range, etc.) and carton weights are priced.",,,,,,,,,,
(g) Includes light and mid strength beer with an alcoholic content equal to or less than 3.5%.,,,,,,,,,,
(h) Alcoholic content of full strength beer is greater than 3.5%.,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
"© Commonwealth of Australia, 2006",,,,,,,,,,
