Australian Bureau of Statistics,,,,,,,,,,,,,,
Cat. No. 6403.0.55.001 Average Retail Prices of Selected Items: Eight Capital Cities,,,,,,,,,,,,,,
December Quarter 2006,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,Prices in cents,,,,,,,,,,,
,,,Sydney,Melbourne,Brisbane,Adelaide,Perth,Hobart,Darwin,Canberra,,,,
 Dairy products,,,,,,,,,,,,,,
,Milk (2 litre),,322,323,313,318,301,318,357,313,,,,
,"Cheese, processed, sliced, wrapped (500g)",,433,446,452,436,450,436,500,448,,,,
,Butter (500g)(a),,328,358,308,312,312,285,332,322,,,,
 Bread and cereal products,,,,,,,,,,,,,,
,"Bread white loaf, sliced (650g)(b)     ",,297,299,291,289,279,265,351,295,,,,
,"Biscuits, dry (250 g)",,198,201,183,202,184,208,207,200,,,,
,"Breakfast cereal, corn based (525 g)",,373,358,338,354,376,418,357,375,,,,
,"Flour, self raising (2 kg)",,384,419,359,408,393,283,419,421,,,,
,"Rice, long grain (1 kg)",,206,228,198,222,225,232,228,209,,,,
 Meat and seafoods,,,,,,,,,,,,,,
,Beef,,,,,,,,,,,,,
,,Roast Beef (1 kg)(c),1124,1038,1194,1163,1236,1175,1156,1221,,,,
,,Rump steak (1 kg),1759,1994,1844,1923,1857,1986,1901,1952,,,,
,,"T-bone steak, with fillet (1 kg)",2069,1896,1847,2041,1980,1741,2091,1921,,,,
,,Chuck steak (1 kg),1019,955,928,987,1022,1023,1053,1041,,,,
,Lamb,,,,,,,,,,,,,
,,Leg (1 kg),922,906,931,900,988,938,976,933,,,,
,,Loin chops (1 kg),1692,1642,1626,1670,1766,1669,1731,1775,,,,
,,Forequarter chops (1 kg),875,903,863,946,870,867,931,819,,,,
,Pork,,,,,,,,,,,,,
,,Leg (1 kg),638,727,695,743,716,808,752,734,,,,
,,Loin chops (1 kg),1306,1326,1397,1406,1433,1328,1415,1369,,,,
,"Chicken, frozen (1 kg)(d)",,350,325,361,360,380,368,406,354,,,,
,"Bacon, middle rashers (250 g pkt)",,416,405,378,390,462,367,435,414,,,,
,Sausages (1 kg),,554,573,562,581,595,599,533,581,,,,
,"Salmon, pink (210 g can)",,247,243,249,258,264,335,285,266,,,,
 Fresh fruit and vegetables (e),,,,,,,,,,,,,,
,Oranges (1 kg),,309,292,278,177,410,315,379,326,,,,
,Bananas (1 kg) ,,1018,1067,1019,1050,1091,992,940,975,,,,
,Potatoes (1 kg),,177,281,220,219,226,241,296,329,,,,
,Tomatoes (1 kg),,344,319,344,408,410,385,505,330,,,,
,Carrots (1 kg),,209,207,193,198,139,180,252,215,,,,
,Onions (1 kg),,273,249,256,257,230,207,328,273,,,,
 Processed fruit and vegetables,,,,,,,,,,,,,,
,Peaches (825 g can),,323,326,314,323,321,309,331,317,,,,
,"Pineapple, sliced (450 g can)",,170,167,164,174,185,170,174,175,,,,
,"Peas, frozen (500 g pkt)",,164,165,165,139,166,164,203,166,,,,
 Snacks and confectionery,,,,,,,,,,,,,,
,"Chocolate, milk, block (250 g)",,372,400,396,366,392,359,366,377,,,,
 Other food,,,,,,,,,,,,,,
,"Eggs (1 dozen)(d),(f)",,413,406,403,396,423,404,359,394,,,,
,"Sugar, white (2 kg)(d)",,217,224,220,236,274,315,250,240,,,,
,"Jam, strawberry (500 g jar)",,307,319,319,285,319,309,324,319,,,,
,Teabags (180 g pkt),,394,381,360,356,369,442,380,406,,,,
,"Coffee, instant (150 g jar)",,694,706,627,677,680,708,678,689,,,,
,Tomato sauce (600 ml),,187,176,171,167,175,188,189,176,,,,
,"Margarine, poly-unsaturated (500 g)",,280,280,274,267,279,282,286,281,,,,
,"Baked beans, in tomato sauce (420 g)",,145,126,132,138,140,145,145,145,,,,
,Baby food (120 g can),,84,86,85,83,83,87,88,84,,,,
 Houshold supplies,,,,,,,,,,,,,,
,Laundry detergent (1 kg),,586,593,581,585,578,576,554,598,,,,
,Dishwashing detergent (450 ml),,366,363,375,363,348,369,370,388,,,,
,Facial tissues (pkt 180),,224,222,225,223,215,229,230,229,,,,
,Toilet paper (8 x 190 sheet rolls),,648,657,646,655,636,660,630,662,,,,
,Pet food (400 g),,113,112,115,108,112,128,121,105,,,,
 Private motoring ,,,,,,,,,,,,,,
,"Petrol, unleaded (1 litre)",,115.4,115.8,108.7,113.7,114.3,116.1,126.4,119.5,,,,
 Alcoholic drinks,,,,,,,,,,,,,,
,"Beer, low alcohol (24 x 355 ml - 375 ml bottles)(g)",,2564,2546,2908,2572,3282,2837,3079,2506,,,,
,"Beer, full strength (24 x 375 ml bottles)(h)",,3784,3777,3455,3588,3648,3852,4010,3673,,,,
,"Draught beer, low alcohol, public bar (285 ml glass)(g)",,226,278,233,310,322,268,243,231,,,,
,"Draught beer, full strength, public bar (285 ml glass)(h)",,257,312,258,350,328,314,297,259,,,,
,"Scotch nip, public bar (30 ml)",,453,512,412,533,512,390,456,410,,,,
 Personal care products,,,,,,,,,,,,,,
,Toilet soap (4 x 125g),,286,300,262,242,273,279,304,299,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"(a) Sydney, Melbourne and Canberra 2 x 250 g.",,,,,,,,,,,,,,
(b) Hobart 680 g. ,,,,,,,,,,,,,,
"(c) For example silverside, topside, or blade bolar roast.",,,,,,,,,,,,,,
(d) Represents average price of brand name and generic brand products.,,,,,,,,,,,,,,
"(e) Although presented on a cents per kilogram basis, the prices for fruit and vegetables may vary across cities due to the quantity priced, that is, some items may be priced as loose while others may be priced in bags of more than one kilogram. ",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"(f) Various egg types (e.g. caged, free range, etc.) and carton weights are priced.",,,,,,,,,,,,,,
(g) Includes light and mid strength beer with an alcoholic content equal to or less than 3.5%.,,,,,,,,,,,,,,
(h) Alcoholic content of full strength beer is greater than 3.5%.,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"© Commonwealth of Australia, 2007",,,,,,,,,,,,,,
