Australian Bureau of Statistics,,,,,,,,,
"6403055001DO001_200803 Average Retail Prices of Selected Items, Eight Capital Cities, Mar 2008",,,,,,,,,
Released at 11:30 am (Canberra time) Wed 30 Apr 2008,,,,,,,,,
"Table 1 Cat. No. 6403.0.55.001 Average Retail Prices of Selected Items, Eight Capital Cities, March quarter 2008",,,,,,,,,
Items,Sydney,Melbourne,Brisbane,Adelaide,Perth,Hobart,Darwin,Canberra,
PRICES IN CENTS,,,,,,,,,
Dairy products,,,,,,,,,
"Milk, (2 ltr bottle)",372,359,340,355,346,370,392,359,
"Cheese, proc'ed, sliced, wrapped (500g pkt)",489,510,464,429,497,473,537,430,
Butter (500g),390,340,301,312,408,354,405,374,
Bread and Cereal products,,,,,,,,,
"Bread white loaf, sliced (650g-700g)",350,351,330,332,328,286,360,352,
"Biscuits, dry (250g pkt)",218,222,202,223,205,225,223,221,
"Breakfast cereal, corn based (525g box)",384,366,357,366,392,412,385,377,
"Flour, self raising (2kg)",367,373,346,373,396,412,457,404,
Rice (1kg),184,215,170,213,232,223,227,205,
Meat and seafoods,,,,,,,,,
Beef,,,,,,,,,
Roast Beef (1kg),"1,080",983,"1,244","1,155","1,175","1,203","1,155","1,229",
Rump steak (1kg),"1,838","2,130","1,956","1,994","1,978","2,025","2,075","1,974",
"T-bone steak, with fillet (1kg)","2,026","1,954","2,063","2,082","2,093","1,986","2,113","2,022",
Chuck steak (1kg),"1,021",982,994,"1,007","1,047","1,026","1,072","1,090",
Lamb,,,,,,,,,
Leg (1kg),969,844,956,895,937,895,875,919,
Loin chops (1kg),"1,663","1,700","1,809","1,819","1,827","1,771","1,852","1,722",
Forequarter chops (1kg),902,942,977,"1,031",996,917,"1,072",888,
Pork,,,,,,,,,
Leg (1kg),640,751,652,713,735,816,698,735,
Loin chops (1kg),"1,506","1,328","1,421","1,482","1,570","1,453","1,510","1,427",
"Chicken, Whole Fresh (1kg)",538,559,556,570,575,607,569,570,
"Bacon, middle rashers (250g pkt)",397,426,401,421,544,376,446,440,
Beef Sausages (1kg),573,544,645,636,650,613,572,711,
"Salmon, pink (210g can)",250,246,253,264,271,287,278,273,
Fresh fruit and vegetables,,,,,,,,,
Oranges (1kg),347,298,255,356,415,311,385,352,
Bananas (1kg),263,269,235,269,321,312,429,258,
Potatoes (1kg),155,273,229,277,252,219,315,343,
Tomatoes (1kg),436,365,407,402,436,459,542,445,
Carrots (1kg),217,215,192,192,160,194,256,227,
Onions (1kg),269,280,261,274,224,227,368,275,
Proc'ed fruit and vegetables,,,,,,,,,
Peaches (825g can),335,315,328,338,359,339,355,322,
"Pineapple, sliced (450g can)",201,192,194,210,191,198,214,194,
"Peas, frozen (500g pkt)",175,188,175,175,185,190,218,180,
Snacks and Confectionery,,,,,,,,,
"Chocolate, milk (250g block)",393,401,390,388,368,423,407,423,
Other food,,,,,,,,,
Eggs (1 dozen),421,462,449,446,477,439,462,452,
"Sugar, white (2kg)",228,233,220,255,278,341,259,214,
"Jam, strawberry (500g jar)",303,314,296,314,322,324,329,312,
Teabags (180g pkt),416,397,385,369,395,449,393,415,
"Coffee, instant (150g jar)",738,736,721,779,759,772,847,741,
Tomato sauce (600ml bottle),192,185,187,187,183,191,210,185,
"Margarine, poly-unsaturated (500g)",286,283,282,276,282,283,298,283,
"Baked beans, in tomato sauce (420g can)",134,136,122,127,137,130,143,154,
Baby food (110g jar),112,114,108,115,114,112,112,115,
H'hold supplies,,,,,,,,,
Laundry detergent (1kg),574,574,601,568,557,559,618,552,
Dishwashing detergent (450ml),384,373,389,388,350,365,380,402,
Facial tissues (180 pack),219,223,227,225,222,216,229,236,
Toilet tissue (8 x 190 sheet rolls),656,645,623,630,635,618,632,682,
Pet food (400g can),117,114,116,113,113,122,125,112,
Private motoring,,,,,,,,,
"Petrol, unleaded (1 litre)",140,139,131,136,138,144,148,141,
Alcoholic drinks,,,,,,,,,
"Beer, full strength  (24 x 375ml bottles, case)","3,897","3,960","3,739","3,874","4,130","3,987","4,156","3,886",
"Draught beer, low alcohol, public bar (285ml glass)",236,300,245,352,327,277,258,259,
"Draught beer, full strength, public bar (285ml glass)",273,337,276,381,352,335,323,283,
"Scotch, public bar (30ml nip)",463,549,428,558,567,416,491,446,
Personal care products,,,,,,,,,
Toilet soap (4 bar pack),806,809,823,816,808,808,821,778,
,,,,,,,,,
,,,,,,,,,
© Commonwealth of Australia 2008,,,,,,,,,
