Australian Bureau of Statistics,,,,,,,,,
"6403.0.55.001 Average Retail Prices of Selected Items, Eight Capital Cities, Jun 2008",,,,,,,,,
Released at 11:30 am (Canberra time) Wed 30 Jul 2008,,,,,,,,,
"Table 1 Cat. No. 6403.0.55.001 Average Retail Prices of Selected Items, Eight Capital Cities, June quarter 2008",,,,,,,,,
Items,Sydney,Melbourne,Brisbane,Adelaide,Perth,Hobart,Darwin,Canberra,
PRICES IN CENTS,,,,,,,,,
Dairy products,,,,,,,,,
"Milk, (2 ltr bottle)",366,360,322,363,357,384,401,372,
"Cheese, proc'ed, sliced, wrapped (500g pkt)",495,513,466,509,526,486,555,480,
Butter (500g),392,370,334,337,467,383,425,407,
Bread and Cereal products,,,,,,,,,
"Bread white loaf, sliced (650g-700g)",339,348,320,328,325,295,388,348,
"Biscuits, dry (250g pkt)",228,226,229,229,228,229,234,229,
"Breakfast cereal, corn based (525g box)",395,376,367,376,395,439,387,395,
"Flour, self raising (2kg)",329,341,348,387,380,382,402,386,
Rice (1kg),193,223,204,215,264,239,225,200,
Meat and seafoods,,,,,,,,,
Beef,,,,,,,,,
Roast Beef (1kg),"1,119","1,062","1,168","1,165","1,171","1,091","1,159","1,308",
Rump steak (1kg),"1,840","1,989","2,061","1,935","1,991","2,060","1,992","1,908",
"T-bone steak, with fillet (1kg)","2,029","2,028","2,043","2,107","2,038","1,953","2,106","1,965",
Chuck steak (1kg),974,983,"1,014",996,"1,056","1,022","1,070","1,047",
Lamb,,,,,,,,,
Leg (1kg),986,905,984,871,975,927,877,929,
Loin chops (1kg),"1,718","1,811","1,743","1,824","1,853","1,778","1,811","1,742",
Forequarter chops (1kg),941,924,902,996,968,970,"1,006",910,
Pork,,,,,,,,,
Leg (1kg),632,795,729,712,745,860,724,710,
Loin chops (1kg),"1,492","1,406","1,502","1,483","1,573","1,483","1,527","1,470",
"Chicken, Whole Fresh (1kg)",530,544,534,585,605,590,542,571,
"Bacon, middle rashers (250g pkt)",400,426,410,416,536,333,449,439,
Beef Sausages (1kg),569,575,650,629,681,666,579,675,
"Salmon, pink (210g can)",261,256,260,260,281,323,291,290,
Fresh fruit and vegetables,,,,,,,,,
Oranges (1kg),304,298,246,312,337,295,352,300,
Bananas (1kg),216,232,206,213,306,223,436,185,
Potatoes (1kg),156,269,222,250,262,202,293,298,
Tomatoes (1kg),384,372,359,404,420,407,543,322,
Carrots (1kg),239,220,239,208,159,178,272,241,
Onions (1kg),248,257,241,251,212,206,322,255,
Proc'ed fruit and vegetables,,,,,,,,,
Peaches (825g can),338,345,344,334,360,339,376,341,
"Pineapple, sliced (450g can)",203,205,193,211,204,198,217,206,
"Peas, frozen (500g pkt)",185,187,181,199,191,192,225,181,
Snacks and Confectionery,,,,,,,,,
"Chocolate, milk (250g block)",410,391,409,377,399,401,393,428,
Other food,,,,,,,,,
Eggs (1 dozen),400,440,440,446,476,431,466,456,
"Sugar, white (2kg)",232,236,219,261,285,358,259,218,
"Jam, strawberry (500g jar)",328,328,327,298,340,337,352,340,
Teabags (180g pkt),379,395,384,369,399,428,388,381,
"Coffee, instant (150g jar)",761,759,714,782,781,761,776,733,
Tomato sauce (600ml bottle),200,192,181,193,191,188,208,186,
"Margarine, poly-unsaturated (500g)",303,306,300,289,304,303,314,298,
"Baked beans, in tomato sauce (420g can)",150,149,148,145,145,144,152,144,
Baby food (110g jar),104,106,103,101,109,100,112,106,
H'hold supplies,,,,,,,,,
Laundry detergent (1kg),569,572,569,566,564,556,575,547,
Dishwashing detergent (450ml),343,346,326,320,360,334,332,297,
Facial tissues (180 pack),218,224,221,222,213,214,217,229,
Toilet tissue (8 x 190 sheet rolls),657,670,677,683,627,663,706,679,
Pet food (400g can),110,110,109,109,108,122,117,109,
Private motoring,,,,,,,,,
"Petrol, unleaded (1 litre)",152,150,143,151,149,156,160,153,
Alcoholic drinks,,,,,,,,,
"Beer, full strength (24 x 375ml bottles, case)","3,852","3,937","3,840","3,932","4,100","4,149","4,254","3,905",
"Draught beer, low alcohol, public bar (285ml glass)",253,306,252,355,339,285,258,257,
"Draught beer, full strength, public bar (285ml glass)",286,377,282,383,344,344,326,288,
"Scotch, public bar (30ml nip)",486,555,442,567,582,419,496,465,
Personal care products,,,,,,,,,
Toilet soap (4 bar pack),814,765,820,788,790,773,711,781,
,,,,,,,,,
,,,,,,,,,
© Commonwealth of Australia 2008,,,,,,,,,
