Australian Bureau of Statistics,,,,,,,,,
"6403055001DO001_200809 Average Retail Prices of Selected Items, Eight Capital Cities, Sep 2008",,,,,,,,,
Released at 11:30 am (Canberra time) Wed 29 Oct 2008,,,,,,,,,
"Table 1 Average Retail Prices of Selected Items, Eight Capital Cities, September quarter 2008",,,,,,,,,
Items,Sydney,Melbourne,Brisbane,Adelaide,Perth,Hobart,Darwin,Canberra,
PRICES IN CENTS,,,,,,,,,
Dairy products,,,,,,,,,
"Milk, (2 ltr bottle)",357,367,331,370,349,391,411,374,
"Cheese, sliced (500g pkt)",521,546,509,535,558,537,589,483,
Butter (500g),386,369,328,353,448,378,432,411,
Bread and Cereal products,,,,,,,,,
"Bread white loaf, sliced (650g-750g)",367,373,354,352,335,298,368,360,
"Biscuits, dry (250g pkt)",230,229,207,229,229,229,238,229,
"Breakfast cereal, corn based (525g box)",385,376,367,376,395,439,384,396,
"Flour, self raising (2kg)",324,326,343,381,390,387,404,384,
Rice (1kg),229,255,246,245,271,279,278,227,
Meat and seafoods,,,,,,,,,
Beef,,,,,,,,,
Roast Beef (1kg),"1,078","1,085","1,272","1,202","1,148","1,142","1,213","1,292",
Rump steak (1kg),"1,814","2,050","1,869","1,849","1,878","1,961","1,897","2,015",
"T-bone steak, with fillet (1kg)","1,863","1,993","2,059","2,110","2,019","1,899","1,984","1,867",
Chuck steak (1kg),"1,029",981,"1,017",993,"1,083","1,015","1,039","1,093",
Lamb,,,,,,,,,
Leg (1kg),985,915,945,965,941,904,939,998,
Loin chops (1kg),"1,759","1,793","1,794","1,795","1,880","1,814","1,830","1,742",
Forequarter chops (1kg),896,957,945,992,991,988,"1,074",919,
Pork,,,,,,,,,
Leg (1kg),677,777,697,775,696,834,753,723,
Loin chops (1kg),"1,493","1,415","1,500","1,456","1,567","1,505","1,503","1,525",
"Chicken, Whole Fresh (1kg)",533,541,542,545,590,593,518,527,
"Bacon, middle rashers (250g pkt)",385,426,354,417,473,362,399,453,
Beef Sausages (1kg),590,564,653,631,671,677,584,666,
"Salmon, pink (210g can)",258,258,258,266,288,335,291,290,
Fresh fruit and vegetables,,,,,,,,,
Oranges (1kg),220,252,219,239,307,220,342,216,
Bananas (1kg),326,322,305,340,418,368,443,333,
Potatoes (1kg),157,247,219,219,282,203,313,275,
Tomatoes (1kg),305,312,262,340,392,304,487,288,
Carrots (1kg),215,222,212,205,166,188,271,210,
Onions (1kg),251,253,242,255,208,198,325,256,
Proc'ed fruit and vegetables,,,,,,,,,
Peaches (825g can),337,334,344,338,364,322,376,321,
"Pineapple, sliced (450g can)",200,203,196,209,206,201,208,197,
"Peas, frozen (500g pkt)",194,200,194,189,199,190,238,190,
Snacks and Confectionery,,,,,,,,,
"Chocolate, milk (250g block)",399,414,388,393,400,402,392,406,
Other food,,,,,,,,,
Eggs (1 dozen),402,444,443,443,480,452,464,462,
"Sugar, white (2kg)",218,228,210,266,277,350,250,206,
"Jam, strawberry (500g jar)",330,340,327,334,340,357,352,341,
Teabags (180g pkt),362,388,369,341,385,366,381,359,
"Coffee, instant (150g jar)",722,789,748,807,756,806,851,714,
Tomato sauce (600ml bottle),207,196,185,188,202,199,217,202,
"Margarine, poly-unsaturated (500g)",314,311,314,306,317,315,324,315,
"Baked beans, in tomato sauce (420g can)",154,143,141,140,148,137,156,151,
Baby food (110g jar),109,112,110,109,109,108,110,106,
H'hold supplies,,,,,,,,,
Laundry detergent (1kg),585,587,601,598,589,587,600,573,
Dishwashing detergent (450ml),387,384,387,379,400,380,404,380,
Facial tissues (170 pack),211,211,200,219,204,214,218,217,
Toilet tissue (8 x 180 sheet rolls),660,679,703,701,659,686,686,699,
Pet food (400g can),116,112,114,110,115,128,121,112,
Private motoring,,,,,,,,,
"Petrol, unleaded (1 litre)",154,155,147,154,149,160,167,156,
Alcoholic drinks,,,,,,,,,
"Beer, full strength (24 x 375ml bottles, case)","3,791","3,859","3,921","4,019","4,167","4,135","4,363","3,903",
"Draught beer, low alcohol, public bar (285ml glass)",257,310,262,358,342,287,259,263,
"Draught beer, full strength, public bar (285ml glass)",292,347,295,391,363,346,328,289,
"Scotch, public bar (30ml nip)",491,577,465,594,595,423,499,471,
Personal care products,,,,,,,,,
Toilet soap (2 bar pack),430,438,423,417,426,429,438,407,
,,,,,,,,,
,,,,,,,,,
© Commonwealth of Australia 2008,,,,,,,,,
