Australian Bureau of Statistics,,,,,,,,,
"6403055001DO001_200903 Average Retail Prices of Selected Items, Eight Capital Cities, Mar 2009",,,,,,,,,
Released at 11:30 am (Canberra time) Wed 29 Apr 2009,,,,,,,,,
"Table 1 Average Retail Prices of Selected Items, Eight Capital Cities, March quarter 2009",,,,,,,,,
Items,Sydney,Melbourne,Brisbane,Adelaide,Perth,Hobart,Darwin,Canberra,
PRICES IN CENTS,,,,,,,,,
Dairy products,,,,,,,,,
"Milk, (2 ltr bottle)",352,368,329,369,366,382,424,386,
"Cheese, sliced (500g pkt)",510,592,524,525,547,512,610,490,
Butter (500g),400,378,340,364,456,374,457,436,
Bread and Cereal products,,,,,,,,,
"Bread white loaf, sliced (650g-750g)",373,388,363,365,350,316,410,369,
"Biscuits, dry (250g pkt)",226,231,229,222,223,218,238,218,
"Breakfast cereal, corn based (525g box)",407,396,385,391,406,447,407,407,
"Flour, self raising (2kg)",321,334,349,391,395,396,401,389,
Rice (1kg),236,292,290,268,296,269,293,256,
Meat and seafoods,,,,,,,,,
Beef,,,,,,,,,
Roast Beef (1kg),"1,138","1,070","1,221","1,020","1,115","1,053","1,185","1,272",
Rump steak (1kg),"1,889","2,037","2,163","2,038","1,944","1,966","1,698","1,961",
"T-bone steak, with fillet (1kg)","2,111","2,074","2,189","2,122","2,023","1,916","2,062","1,982",
Chuck steak (1kg),"1,059",997,"1,024","1,018","1,075","1,075","1,004","1,079",
Lamb,,,,,,,,,
Leg (1kg),"1,010","1,015","1,053",964,"1,050","1,000","1,032",990,
Loin chops (1kg),"1,983","1,859","1,971","1,918","1,990","1,930","1,986","1,943",
Forequarter chops (1kg),957,"1,100",995,"1,056","1,028",963,"1,024","1,037",
Pork,,,,,,,,,
Leg (1kg),786,891,795,858,808,927,924,901,
Loin chops (1kg),"1,628","1,555","1,572","1,597","1,664","1,593","1,632","1,590",
"Chicken, Whole Fresh (1kg)",558,566,576,582,605,622,563,560,
"Bacon, middle rashers (250g pkt)",444,438,431,459,579,440,481,452,
Beef Sausages (1kg),619,589,691,667,655,712,629,704,
"Salmon, pink (210g can)",246,248,260,254,285,319,274,289,
Fresh fruit and vegetables,,,,,,,,,
Oranges (1kg),377,333,273,376,411,330,428,409,
Bananas (1kg),300,332,303,352,409,353,421,321,
Potatoes (1kg),153,262,218,215,266,262,285,285,
Tomatoes (1kg),471,422,404,445,417,468,584,460,
Carrots (1kg),221,229,197,207,172,198,275,232,
Onions (1kg),271,274,275,299,272,247,359,270,
Proc'ed fruit and vegetables,,,,,,,,,
Peaches (825g can),356,348,353,334,358,326,376,330,
"Pineapple, sliced (450g can)",217,219,206,216,214,219,228,219,
"Peas, frozen (500g pkt)",218,210,194,202,194,237,251,198,
Snacks and Confectionery,,,,,,,,,
"Chocolate, milk (250g block)",458,481,452,462,445,451,490,466,
Other food,,,,,,,,,
Eggs (1 dozen),416,443,431,429,470,451,472,470,
"Sugar, white (2kg)",232,239,220,253,281,355,262,219,
"Jam, strawberry (500g jar)",332,326,315,330,329,357,326,329,
Teabags (180g pkt),420,439,413,410,415,426,398,386,
"Coffee, instant (150g jar)",741,799,766,884,803,841,794,764,
Tomato sauce (600ml bottle),215,196,198,198,195,190,210,195,
"Margarine, poly-unsaturated (500g)",316,315,314,307,311,317,325,316,
"Baked beans, in tomato sauce (420g can)",157,155,150,155,154,152,171,159,
Baby food (110g jar),119,123,119,121,122,122,129,117,
H'hold supplies,,,,,,,,,
Laundry detergent (1kg),609,582,598,604,548,573,597,618,
Dishwashing detergent (450ml),367,368,337,383,334,399,336,398,
Facial tissues (170 pack),219,217,217,216,215,214,240,219,
Toilet tissue (8 x 180 sheet rolls),718,697,676,675,680,698,679,705,
Pet food (400g can),123,119,112,118,123,142,124,126,
Private motoring,,,,,,,,,
"Petrol, unleaded (1 litre)",115,117,110,116,111,120,126,119,
Alcoholic drinks,,,,,,,,,
"Beer, full strength (24 x 375ml bottles, case)","3,819","3,896","3,844","4,159","4,195","4,188","4,351","3,855",
"Draught beer, low alcohol, public bar (285ml glass)",261,315,280,365,342,294,262,279,
"Draught beer, full strength, public bar (285ml glass)",300,352,312,406,367,354,332,305,
"Scotch, public bar (30ml nip)",495,591,493,603,588,436,504,483,
Personal care products,,,,,,,,,
Toilet soap (2 bar pack),402,430,440,419,416,415,442,418,
,,,,,,,,,
,,,,,,,,,
© Commonwealth of Australia 2009,,,,,,,,,
