Australian Bureau of Statistics,,,,,,,,,
"6403.0.55.001 Average Retail Prices of Selected Items, Eight Capital Cities, Jun 2009",,,,,,,,,
Released at 11:30 am (Canberra time) Wed 29 Jul 2009,,,,,,,,,
"Table 1 Average Retail Prices of Selected Items, Eight Capital Cities, June quarter 2009",,,,,,,,,
Items,Sydney,Melbourne,Brisbane,Adelaide,Perth,Hobart,Darwin,Canberra,
PRICES IN CENTS,,,,,,,,,
Dairy products,,,,,,,,,
"Milk, (2 ltr bottle)",341,361,318,353,322,370,410,371,
"Cheese, sliced (500g pkt)",524,576,546,554,521,503,614,557,
Butter (500g),407,370,342,363,438,380,451,423,
Bread and Cereal products,,,,,,,,,
"Bread white loaf, sliced (650g-750g)",372,378,360,358,343,318,397,364,
"Biscuits, dry (250g pkt)",234,231,229,238,226,225,238,232,
"Breakfast cereal, corn based (525g box)",399,396,384,380,400,449,411,401,
"Flour, self raising (2kg)",305,327,338,380,395,399,389,379,
Rice (1kg),248,288,321,277,290,255,337,254,
Meat and seafoods,,,,,,,,,
Beef,,,,,,,,,
Roast Beef (1kg),"1,128","1,041","1,189","1,101","1,109","1,134","1,125","1,323",
Rump steak (1kg),"1,983","2,054","2,075","2,000","2,028","2,033","2,055","2,044",
"T-bone steak, with fillet (1kg)","2,097","2,069","2,166","2,102","2,054","1,972","2,041","1,956",
Chuck steak (1kg),"1,055","1,051","1,009","1,015","1,059",984,"1,058","1,099",
Lamb,,,,,,,,,
Leg (1kg),"1,072","1,021","1,104","1,033","1,033","1,026","1,057","1,025",
Loin chops (1kg),"1,889","1,862","1,944","1,846","1,975","1,965","1,932","1,888",
Forequarter chops (1kg),970,"1,073","1,038","1,058","1,024",995,"1,022",889,
Pork,,,,,,,,,
Leg (1kg),812,882,829,845,860,852,920,853,
Loin chops (1kg),"1,574","1,611","1,535","1,511","1,578","1,608","1,567","1,581",
"Chicken, Whole Fresh (1kg)",535,550,564,566,631,592,556,570,
"Bacon, middle rashers (250g pkt)",444,438,455,479,662,481,535,534,
Beef Sausages (1kg),612,597,658,665,652,658,625,711,
"Salmon, pink (210g can)",285,286,308,312,354,388,340,329,
Fresh fruit and vegetables,,,,,,,,,
Oranges (1kg),333,312,310,341,397,315,377,338,
Bananas (1kg),295,296,260,287,400,347,416,296,
Potatoes (1kg),142,249,202,204,273,225,277,280,
Tomatoes (1kg),371,370,359,409,388,425,546,339,
Carrots (1kg),205,214,194,207,167,187,263,211,
Onions (1kg),235,238,240,255,246,228,326,222,
Proc'ed fruit and vegetables,,,,,,,,,
Peaches (825g can),363,349,362,347,379,349,386,349,
"Pineapple, sliced (450g can)",211,216,199,197,218,210,219,208,
"Peas, frozen (500g pkt)",228,216,203,209,213,219,257,194,
Snacks and Confectionery,,,,,,,,,
"Chocolate, milk (200g block)",386,384,371,386,417,373,426,378,
Other food,,,,,,,,,
Eggs (1 dozen),410,443,432,444,460,445,473,465,
"Sugar, white (2kg)",235,244,229,253,287,346,260,221,
"Jam, strawberry (500g jar)",342,339,339,340,334,357,352,341,
Teabags (180g pkt),428,434,423,379,412,431,465,456,
"Coffee, instant (150g jar)",772,780,799,823,825,827,890,801,
Tomato sauce (600ml bottle),205,208,207,207,222,206,237,207,
"Margarine, poly-unsaturated (500g)",319,324,320,319,325,318,325,331,
"Baked beans, in tomato sauce (420g can)",161,152,159,160,159,147,171,159,
Baby food (110g jar),118,122,120,119,119,122,126,120,
H'hold supplies,,,,,,,,,
Laundry detergent (1kg),586,585,546,561,570,539,588,572,
Dishwashing detergent (450ml),341,354,351,367,331,356,385,334,
Facial tissues (170 pack),226,223,221,219,222,226,237,224,
Toilet tissue (8 x 180 sheet rolls),721,671,689,668,691,632,754,720,
Pet food (400g can),119,123,116,119,116,122,127,123,
Private motoring,,,,,,,,,
"Petrol, unleaded (1 litre)",120,121,113,120,120,122,129,123,
Alcoholic drinks,,,,,,,,,
"Beer, full strength (24 x 375ml bottles, case)","3,912","3,949","3,857","4,205","4,139","4,105","4,461","3,936",
"Draught beer, low alcohol, public bar (285ml glass)",268,316,290,367,350,295,267,278,
"Draught beer, full strength, public bar (285ml glass)",308,354,319,410,369,356,343,313,
"Scotch, public bar (30ml nip)",487,603,504,607,590,441,504,499,
Personal care products,,,,,,,,,
Toilet soap (2 bar pack),424,435,452,427,428,420,487,421,
,,,,,,,,,
,,,,,,,,,
© Commonwealth of Australia 2009,,,,,,,,,
