Australian Bureau of Statistics,,,,,,,,,
"6403055001DO001_200909 Average Retail Prices of Selected Items, Eight Capital Cities, Sep 2009",,,,,,,,,
Released at 11:30 am (Canberra time) Wed 4 Nov 2009,,,,,,,,,
"Table 1 Average Retail Prices of Selected Items, Eight Capital Cities, September quarter 2009",,,,,,,,,
Items,Sydney,Melbourne,Brisbane,Adelaide,Perth,Hobart,Darwin,Canberra,
PRICES IN CENTS,,,,,,,,,
Dairy products,,,,,,,,,
Milk 2 ltr whole milk,343,358,318,344,321,370,417,371,
"Cheese, sliced (500g pkt)",520,545,527,554,551,501,626,511,
Butter (500g),395,370,340,370,461,378,457,423,
Bread and Cereal products,,,,,,,,,
"Bread white loaf, sliced (650g-750g)",371,380,356,363,342,309,385,368,
"Biscuits, dry (250g pkt)",237,239,240,238,238,239,254,239,
"Breakfast cereal, corn based (525g box)",384,392,373,368,400,423,404,391,
"Flour, self raising (2kg)",321,334,343,369,397,389,392,387,
Rice (1kg),247,306,317,278,296,262,314,255,
Meat and seafoods,,,,,,,,,
Beef,,,,,,,,,
Roast Beef (1kg),"1,106","1,147","1,279","1,099","1,112","1,185","1,187","1,283",
Rump steak (1kg),"1,935","2,039","2,173","1,948","1,991","2,002","1,934","2,077",
"T-bone steak, with fillet (1kg)","1,946","2,000","2,184","2,136","2,044","1,949","1,965","1,967",
Chuck steak (1kg),"1,081","1,045",983,"1,000","1,084","1,029",985,"1,048",
Lamb,,,,,,,,,
Leg (1kg),"1,046",986,"1,073","1,064","1,097","1,024","1,101","1,007",
Loin chops (1kg),"1,853","1,871","1,918","1,898","1,999","1,930","1,886","1,916",
Forequarter chops (1kg),"1,052","1,049","1,036","1,078","1,048","1,021","1,035",988,
Pork,,,,,,,,,
Leg (1kg),785,886,853,837,817,902,881,858,
Loin chops (1kg),"1,474","1,577","1,520","1,566","1,516","1,645","1,585","1,467",
"Chicken, Whole Fresh (1kg)",562,554,528,557,624,650,582,558,
"Bacon, middle rashers (250g pkt)",444,438,465,455,661,450,514,470,
Beef Sausages (1kg),613,581,644,670,665,696,623,657,
"Salmon, pink (210g can)",314,306,319,312,371,354,327,370,
Fresh fruit and vegetables,,,,,,,,,
Oranges (1kg),209,274,228,210,328,239,313,213,
Bananas (1kg),300,291,261,309,379,332,424,282,
Potatoes (1kg),145,226,203,214,265,216,287,283,
Tomatoes (1kg),296,291,247,345,338,287,474,288,
Carrots (1kg),214,218,193,213,171,208,274,218,
Onions (1kg),241,220,241,224,237,175,301,212,
Proc'ed fruit and vegetables,,,,,,,,,
Peaches (825g can),343,313,332,337,378,318,385,289,
"Pineapple, sliced (450g can)",205,218,193,192,208,209,219,211,
"Peas, frozen (500g pkt)",225,211,205,209,202,214,264,201,
Snacks and Confectionery,,,,,,,,,
"Chocolate, milk (200g block)",346,377,387,366,356,363,396,336,
Other food,,,,,,,,,
Eggs (1 dozen),407,447,433,433,453,447,494,463,
"Sugar, white (2kg)",242,250,234,253,289,356,269,230,
"Jam, strawberry (500g jar)",338,334,339,340,334,357,352,341,
Teabags (180g pkt),405,408,397,371,389,413,428,395,
"Coffee, instant (150g jar)",770,789,782,830,867,806,830,765,
Tomato sauce (600ml bottle),201,215,205,220,240,215,242,211,
"Margarine, poly-unsaturated (500g)",320,314,314,314,323,322,333,321,
"Baked beans, in tomato sauce (420g can)",161,159,159,159,154,159,171,159,
Baby food (110g jar),117,122,120,119,119,122,126,116,
H'hold supplies,,,,,,,,,
Laundry detergent (1kg),588,621,570,575,558,570,616,588,
Dishwashing detergent (450ml),375,370,357,364,346,362,368,375,
Facial tissues (170 pack),224,228,214,213,210,208,237,216,
Toilet tissue (8 x 180 sheet rolls),698,710,635,600,682,688,625,672,
Pet food (400g can),134,132,132,131,137,137,133,137,
Private motoring,,,,,,,,,
"Petrol, unleaded (1 litre)",123,125,125,122,122,127,134,128,
Alcoholic drinks,,,,,,,,,
"Beer, full strength (24 x 375ml bottles, case)","3,925","3,993","3,986","4,259","4,205","4,245","4,549","3,988",
"Draught beer, low alcohol, public bar (285ml glass)",271,308,297,363,355,300,272,283,
"Draught beer, full strength, public bar (285ml glass)",303,350,324,411,373,361,358,318,
"Scotch, public bar (30ml nip)",497,589,493,604,593,445,511,508,
Personal care products,,,,,,,,,
Toilet soap (2 bar pack),365,435,452,409,426,390,457,451,
,,,,,,,,,
,,,,,,,,,
© Commonwealth of Australia 2009,,,,,,,,,
