Australian Bureau of Statistics,,,,,,,,,
"6403055001DO001_200912 Average Retail Prices of Selected Items, Eight Capital Cities, Dec 2009",,,,,,,,,
Released at 11:30 am (Canberra time) Wed 3 Feb 2010,,,,,,,,,
"Table 1 Average Retail Prices of Selected Items, Eight Capital Cities, December quarter 2009",,,,,,,,,
Items,Sydney,Melbourne,Brisbane,Adelaide,Perth,Hobart,Darwin,Canberra,
PRICES IN CENTS,,,,,,,,,
Dairy products,,,,,,,,,
Milk 2 ltr whole milk,348,358,318,344,315,370,425,372,
"Cheese, sliced (500g pkt)",543,584,535,535,547,567,632,524,
Butter (500g),402,357,321,365,402,377,456,418,
Bread and Cereal products,,,,,,,,,
"Bread white loaf, sliced (650g-750g)",379,386,346,366,358,319,410,377,
"Biscuits, dry (250g pkt)",251,249,250,248,249,249,255,249,
"Breakfast cereal, corn based (460g box)",368,363,364,365,366,425,390,361,
"Flour, self raising (2kg)",321,327,340,372,375,389,389,348,
Rice (1kg),237,303,291,282,290,238,329,250,
Meat and seafoods,,,,,,,,,
Beef,,,,,,,,,
Roast Beef (1kg),"1,139","1,193","1,214","1,033","1,147","1,174","1,163","1,202",
Rump steak (1kg),"1,932","1,955","2,138","1,953","2,011","2,082","1,867","1,900",
"T-bone steak, with fillet (1kg)","2,087","2,123","2,116","2,117","2,104","2,055","2,113","2,000",
Chuck steak (1kg),"1,127","1,049","1,039","1,074","1,116","1,102","1,004","1,080",
Lamb,,,,,,,,,
Leg (1kg),987,952,"1,078",932,"1,045","1,012",989,957,
Loin chops (1kg),"1,882","1,852","1,955","1,901","1,966","1,846","1,974","1,874",
Forequarter chops (1kg),964,"1,016","1,027","1,040","1,071",963,"1,094",934,
Pork,,,,,,,,,
Leg (1kg),803,874,891,846,804,905,875,906,
Loin chops (1kg),"1,522","1,496","1,575","1,587","1,575","1,457","1,430","1,371",
"Chicken, Whole Fresh (1kg)",567,591,561,575,602,623,562,557,
"Bacon, middle rashers (250g pkt)",444,438,506,434,612,455,525,545,
Beef Sausages (1kg),614,601,663,647,667,652,617,690,
"Salmon, pink (210g can)",352,321,315,324,349,306,349,374,
Fresh fruit and vegetables,,,,,,,,,
Oranges (1kg),264,272,245,254,353,280,339,233,
Bananas (1kg),425,389,387,445,531,474,429,412,
Potatoes (1kg),150,238,207,261,250,254,272,253,
Tomatoes (1kg),368,331,332,375,434,378,457,380,
Carrots (1kg),214,209,190,207,172,241,274,204,
Onions (1kg),218,222,218,215,222,198,273,210,
Proc'ed fruit and vegetables,,,,,,,,,
Peaches (825g can),371,368,377,366,379,369,380,370,
"Pineapple, sliced (450g can)",207,212,190,197,202,211,210,230,
"Peas, frozen (500g pkt)",231,203,199,206,202,210,249,195,
Snacks and Confectionery,,,,,,,,,
"Chocolate, milk (200g block)",361,383,369,343,334,355,374,341,
Other food,,,,,,,,,
Eggs (1 dozen),399,444,412,436,454,440,500,458,
"Sugar, white (2kg)",245,246,238,256,303,367,277,230,
"Jam, strawberry (500g jar)",350,343,347,347,344,363,367,348,
Teabags (180g pkt),432,431,455,405,419,455,415,436,
"Coffee, instant (150g jar)",756,768,750,784,771,790,851,759,
Tomato sauce (600ml bottle),206,217,201,212,220,194,238,211,
"Margarine, poly-unsaturated (500g)",322,326,323,314,325,323,330,331,
"Baked beans, in tomato sauce (420g can)",167,161,166,169,149,167,180,161,
Baby food (110g jar),122,128,122,123,127,126,129,123,
H'hold supplies,,,,,,,,,
Laundry detergent (1kg),597,611,568,575,590,583,646,606,
Dishwashing detergent (450ml),336,349,375,339,317,352,376,324,
Facial tissues (170 pack),221,231,217,215,212,221,230,220,
Toilet tissue (8 x 180 sheet rolls),658,706,635,673,700,646,694,646,
Pet food (400g can),143,145,136,138,145,145,150,146,
Private motoring,,,,,,,,,
"Petrol, unleaded (1 litre)",119,121,122,119,118,128,130,126,
Alcoholic drinks,,,,,,,,,
"Beer, full strength (24 x 375ml bottles, case)","3,968","4,043","4,058","4,349","4,124","4,046","4,501","4,136",
"Draught beer, low alcohol, public bar (285ml glass)",275,298,301,363,358,302,268,285,
"Draught beer, full strength, public bar (285ml glass)",316,346,327,408,384,364,365,320,
"Scotch, public bar (30ml nip)",509,604,511,597,606,453,509,503,
Personal care products,,,,,,,,,
Toilet soap (2 bar pack),418,435,369,386,430,418,392,421,
,,,,,,,,,
,,,,,,,,,
© Commonwealth of Australia 2010,,,,,,,,,
